caseid2019,Duration,weight,weight_pop,xgh1,xd1i,DeviceType2,B2,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h,EF5A,EF6A_a,EF6A_b,EF6A_c,EF6A_d,EF6A_e,EF6A_f,EF6A_g,EF7_a,EF7_b,CV1,CV2,CV2A,CV4_a,CV4_b,CV4_c,CV4_d,CV4_e,CV5,CV11,CV11A,CV8,CV12,CV12A,CV13A,CV13B,CV14,CV15,CV16_a,CV16_b,CV16_c,CV16_d,CV16_e,CV17,K5A,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,ppreg9,pprent,ppstaten,PPT01,PPT1317,PPT18OV,PPT25,PPT612,ppwork
1232,253,.8108,48647.4604,"Own your home free and clear (without a mortgage or loan)","Yes","iPhone","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","Yes","No","No","No",,"Not enough precautions",,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,66,"65-74","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Female","Yes",2,"A mobile home","$85,000 to $99,999","Married","Non-Metro","South","West-South Central","Owned or being bought by you or someone in your household","tx",0,0,2,0,0,"Working as a paid employee"
1236,188,.7311,43867.6239,"Own your home with a mortgage or a loan","No","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","6 to 9","No","No","No","No","No",,"Not enough precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",60,"55-64","60+","Associate degree","Some college","White, Non-Hispanic","Female","Yes",4,"A one-family house detached from any other house","$30,000 to $34,999","Divorced","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","mi",0,0,2,1,1,"Working as a paid employee"
1243,384,.4932,29589.9809,"Own your home with a mortgage or a loan","No","WinPC","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","1 to 2","No","No","No","No","Yes",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","About the same","No",64,"55-64","60+","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",1,"A one-family house attached to one or more houses","$40,000 to $49,999","Never married","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","oh",0,0,1,0,0,"Working as a paid employee"
1245,771,.7205,43229.3693,"Own your home with a mortgage or a loan","Yes","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"Yes","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,72,"65-74","60+","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$250,000 or more","Married","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","wi",0,0,2,0,0,"Not working retired"
1248,283,1.0174,61046.2495,"Own your home with a mortgage or a loan","No","AndroidPhone","Just getting by","No","Put it on my credit card and pay it off over time","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Slightly confident","Not at all confident","Temporarily laid off or furloughed",,,"Refused","Refused","Refused","Yes","Refused",,,,"Much lower","No","No",,,,"No","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","About the same","No",57,"55-64","45-59","Some college, no degree","Some college","White, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$40,000 to $49,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","nc",0,0,2,0,0,"Working as a paid employee"
1249,194,.5952,35713.6292,"Own your home free and clear (without a mortgage or loan)","Yes","WinPC","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,70,"65-74","60+","Associate degree","Some college","White, Non-Hispanic","Male","Yes",3,"A one-family house detached from any other house","$50,000 to $59,999","Married","Metro","West","Mountain","Owned or being bought by you or someone in your household","ut",0,0,3,0,0,"Not working retired"
1250,177,1.1303,67819.0686,"Own your home free and clear (without a mortgage or loan)","No","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",56,"55-64","45-59","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$250,000 or more","Married","Non-Metro","South","South Atlantic","Owned or being bought by you or someone in your household","ga",0,0,2,0,0,"Not working other"
1253,497,.9565,57387.029,"Own your home with a mortgage or a loan","No","Mac","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","Some","3 to 5","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",28,"25-34","18-29","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",2,"A one-family house attached to one or more houses","$75,000 to $84,999","Living with partner","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","de",0,0,2,0,0,"Working as a paid employee"
1256,176,.5761,34566.5395,"Pay rent","Yes","iPhone","Doing okay","No","Put it on my credit card and pay it off over time","No","No","No","No","No","No","Can't pay some bills","No","Credit card","No","No","No","No","No","Not at all confident","Not at all confident","Not employed, but looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,73,"65-74","60+","Associate degree","Some college","Hispanic","Female","Yes",1,"A building with 2 or more apartments","$30,000 to $34,999","Never married","Metro","Northeast","Mid-Atlantic","Rented for cash","ny",0,0,1,0,0,"Not working looking for work"
1263,178,.736,44160.0103,"Pay rent","Yes","AndroidPhone","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"Somewhat higher","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,72,"65-74","60+","Associate degree","Some college","Other, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$250,000 or more","Divorced","Non-Metro","West","Pacific","Rented for cash","ca",1,0,1,0,0,"Not working retired"
1265,345,.578,34677.0305,"Own your home with a mortgage or a loan","Yes","iPad","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,81,"75+","60+","Some college, no degree","Some college","White, Non-Hispanic","Male","Yes",1,"A one-family house detached from any other house","$60,000 to $74,999","Married","Metro","Northeast","New England","Owned or being bought by you or someone in your household","ri",0,0,1,0,0,"Not working retired"
