GP19A9,German,English,Unit
1623 19 004,"Holzleimbauteile aus Brettsperrholz (Cross laminated timber, Xlam)","Wooden glue components made of bretting wood (cross laminated timber, Xlam)",m3
1623 19 005,"Holzleimbauteile aus Furnierschichtholz (Laminated veneer lumber, LVL)","Wood glue components made of veneer layer (laminated veneer lumber, lvl)",m3
1623 19 006,Wandelemente,Convertible elements,m3
1623 19 007,Treppen,Staircase,St
1623 19 008,Saunakabinen,Sauna cabins,St
1623 19 009,"Andere Bautischler- und Zimmermannsarbeiten aus Holz, a.n.g.","Other wooden and carpentry work made of wood, A.N.G.",EUR
1623 20 003,Ein- und Zweifamilienhäuser,Single and two-family houses,m2 + St
1623 20 005,Andere Wohn- und Betriebsgebäude,Other residential and company buildings,m2 + St
1623 20 009,Andere Gebäude (z.B. Gartenhäuser),Other buildings (e.g. garden houses),m2 + St
1624 11 330,Flachpaletten; Palettenaufsatzwände,Flach pallets; Pallet attachment walls,St
1624 11 350,Boxpaletten u.a. Ladungsträger,"Boxing pallets, among others,",St
1624 12 000,"Fässer, Tröge, Bottiche, Kübel u.a. Böttcherwaren, Teile dafür (einschl. Fassstäbe)","Barrels, troughs, bottes, buckets, etc. Böttcherwaren, parts for this (including barrels)",m3
1624 13 201,ganz oder teilweise aus furniertem Holz oder Sperrholz hergestellt,Made in whole or partially made of veneered wood or plywood,m3
1624 13 209,aus anderem Holz hergestellt,Made from other wood,m3
1624 13 500,Kabeltrommeln,Cable drums,m3
1629 11 300,"Werkzeuge, Werkzeugfassungen, -griffe und -stiele; Fassungen, Griffe und Stiele für Besen, Bürsten und Pinsel; Schuhformen, -leisten und -spanner, aus Holz","Tools, tool versions, handles and stems; Supports, handles and stems for brooms, brushes and brushes; Shoe shapes, strips and clamps, made of wood",EUR
1629 11 800,Pfeifenrohformen aus Wurzelholz o.a. Holz,Pipe raw shapes made of root wood or others,EUR
1629 12 000,Holzwaren zur Verwendung bei Tisch oder in der Küche,Holzwaren for use at the table or in the kitchen,EUR
1629 13 000,"Hölzer mit Einlegearbeit (Intarsien oder Marketerie); Kästen für Schmuck oder Besteck, Statuetten u.a. Ziergegenstände, Innenausstattungsgegenstände (ohne Möbel), aus Holz","Woods with insert work (Intarsia or marketerie); Boxes for jewelry or cutlery, statuettes, etc. ornamental objects, interior design objects (without furniture), made of wood",EUR
1629 14 200,"Holzrahmen für Bilder, Fotografien, Spiegel u.ä.","Wood frame for pictures, photographs, mirrors etc.",EUR
1629 14 910,"Andere Holzwaren (ohne Särge) (z.B. Griffe und Knäufe für Schirme, Stöcke und Peitschen)","Other wooden goods (without coffins) (e.g. handles and knots for umbrellas, sticks and whip)",EUR
1629 15 001,"Pellets, gepresst, aus Sägespänen o.a. Sägenebenprodukten","Pellets, pressed, from sawdust or others",t
1629 15 003,"Briketts, Scheiten o.ä. Formen aus Sägespänen u.a. Sägenebenprodukten zusammengepresst","Briketts, show or similar forms from sawdust, including the sawing products",t
1629 21 300,Korkabfälle; Korkschrot und Korkmehl,Cork waste; Cork mrea and cork flour,kg
1629 21 500,"Naturkork, entrindet oder grob zugerichtet oder in Würfeln, Platten, Blättern oder Streifen (einschl. Rohlinge zum Herstellen von Stopfen)","Natural cork, caught or roughly prepared or in cubes, plates, leaves or stripes (including blanks for the production of plugs)",kg
1629 22 500,Stopfen,Plug,kg
1629 22 900,Andere Waren aus Naturkork,Other goods from natural cork,kg
1629 23 200,"Stopfen für Schaumwein, auch mit Scheiben aus Naturkork","Stuffing for sparkling wine, also with panes made of natural cork",kg
1629 23 500,Andere Stopfen (z.B. für 'stille Weine'),Other plugs (e.g. for 'silent wines')),kg
1629 23 800,"Massive Zylinder (einschl. Scheiben); Würfel, Quader, Platten, Blätter und Streifen; Fliesen in beliebiger Form","Massive cylinder (including slices); Cubes, cuboids, plates, leaves and strips; Tiles in any shape",kg
1629 24 000,"Waren aus Presskork, a.n.g.","Were from press cork, A.N.G.",kg
1629 25 000,Flechtwaren und Korbmacherwaren (ohne Möbel),Lichter goods and basket makers (without furniture),kg
1699 99 000,Veredlung von Erzeugnissen dieser Güterabteilung,Finishing products of this goods department,EUR
1711 11 000,"Chemische Halbstoffe aus Holz, zum Auflösen","Chemical semi -stuffs made of wood, for dissolving",t-tr90 %
1711 12 000,Chemische Halbstoffe aus Holz (Natron- oder Sulfatzellstoff) (ohne solche zum Auflösen),Chemical semi-stuffs made of wood (sodium or sulfate fabric) (without them to dissolve),t-tr90 %
1711 13 000,Chemische Halbstoffe aus Holz (Sulfitzellstoff) (ohne solche zum Auflösen),Chemical semi -stuffs made of wood (sulfitz echoes) (without them to dissolve),t-tr90 %
1711 14 001,Mechanische Halbstoffe aus Holz (Holzschliff),Mechanical semi -stuffs made of wood (wood cut),t-tr90 %
1711 14 009,"Halbchemische Halbstoffe aus Holz; Halbstoffe aus anderen cellulosehaltigen Faserstoffen (auch Baumwolle und Altpapierstoff, verflüssigt, papiermaschinenfähig aufbereitet)","Half -chemical half -stuffs made of wood; Half fabrics from other cellulose -contained fiber fabrics (also cotton and waste paper fabric, liquefied, paper -compatible processed)",t-tr90 %
1712 11 000,"Zeitungsdruckpapier, in Rollen oder Bogen","Newspaper printing paper, in roles or arches",t
1712 12 000,Büttenpapier und Büttenpappe (handgeschöpft),Konizing paper and handmade cardboard (hand -made),t
1712 13 001,"Rohpapier und Rohpappe für licht-, wärme- oder elektroempfindliche Papiere und Pappen, in Rollen oder Bogen","Raw paper and raw cardboard for light, heat or electrical-sensitive papers and cardboard, in rolls or arches",t
1712 13 005,"Tapetenrohpapier, weder gestrichen noch überzogen","Wallpaper, neither deleted nor overdated",t
1712 14 100,mit einem Quadratmetergewicht von weniger als 40 g und einer mechanisch gewonnenen Fasermenge von 10 GHT oder weniger (holzfrei),With a square meter weight of less than 40 g and a mechanically obtained fiber amount of 10 GHT or less (wood -free),t
1712 14 350,"mit einem Quadratmetergewicht von 40 g bis 150 g und einer mechanisch gewonnenen Fasermenge von 10 GHT oder weniger (holzfrei), in Rollen","With a square meter weight of 40 g to 150 g and a mechanically obtained fiber amount of 10 GHT or less (wood -free), in roll",t
1712 14 391,in Bogen bis max. DIN A 3,In arch up to max. DIN A 3,t
1712 14 395,andere Papiere oder Pappen (nicht in Rollen oder Bogen bis max. DIN A 3),Other papers or cardboard (not in roles or bows up to max. DIN A 3),t
1712 14 500,mit einem Quadratmetergewicht von mehr als 150 g und einer mechanisch gewonnenen Fasermenge von 10 GHT oder weniger (holzfrei),With a square meter weight of more than 150 g and a mechanically obtained fiber amount of 10 GHT or less (wood -free),t
1712 14 700,mit einer mechanisch gewonnenen Fasermenge von mehr als 10 GHT,With a mechanically obtained fiber amount of more than 10 GHT,t
1712 20 300,Zellstoffwatte,Cellar cotton,t
1712 20 550,mit einem Quadratmetergewicht pro Lage von 25 g oder weniger (Tissue),With a square meter weight per location of 25 g or less (tissue),t
1712 20 570,mit einem Quadratmetergewicht pro Lage von mehr als 25 g (Krepp),With a square meter weight per location of more than 25 g (creps),t
1712 20 900,"Andere Papiere für die Herstellung von Toilettenpapier, Abschmink- oder Handtücher, Servietten u.ä. Papiererzeugnisse","Other papers for the production of toilet paper, lucks or towels, napkins, etc. Papier products",t
1712 31 000,"Kraftliner, weder gebleicht noch überzogen","Kraftliner, neither bleached nor oversized",t
1712 32 000,Gestrichener (white top) Kraftliner; überzogener Kraftliner,Painter (white top) force liner; excessive,t
1712 33 000,"Halbzellstoffpapier für die Welle der Wellpappe (sog. ""fluting"")","Half -cell paper for the wave of corrugated cardboard (so -called ""fluting"")",t
1712 34 000,Wellenpapier aus Altpapier und sonstiges Wellenpapier,Wave paper made of waste paper and other wave paper,t
1712 35 201,Weißgedeckter (Top) Testliner mit einem Quadratmetergewicht von 150 g oder weniger,White -covered (top) testliner with a square meter weight of 150 g or less,t
1712 35 209,Anderer Testliner mit einem Quadratmetergewicht von 150 g oder weniger,Other testliners with a square meter weight of 150 g or less,t
1712 35 401,Weißgedeckter (Top) Testliner mit einem Quadratmetergewicht von mehr als 150 g,White -covered (top) testliner with a square meter weight of more than 150 g,t
1712 35 409,Anderer Testliner mit einem Quadratmetergewicht von mehr als 150 g,Other testliners with a square meter weight of more than 150 g,t
1712 41 200,"Kraftsackpapier, ungebleicht","Vigor paper, unbleached",t
1712 41 400,"Anderes Kraftsackpapier, nicht gekreppt, gefältelt oder durch Pressen oder Prägen gemustert oder perforiert","Other strength sack paper, not scolded, fed or patterned or perforated by pressing or shaping",t
1712 41 600,"Kraftpapiere und Kraftpappen, mit einem Quadratmetergewicht von 150 g oder weniger","Power papers and pappen, with a square meter weight of 150 g or less",t
1712 41 800,"Kraftsackpapier, gekreppt oder gefältelt, auch durch Pressen oder Prägen gemustert oder perforiert","Irraphy paper, crown or fed, also patterned or perforated by pressing or shaping",t
1712 42 200,Sulfitpackpapier,Sulfite pack paper,t
1712 42 400,"Andere Papiere und Pappen, weder gestrichen noch überzogen, mit einem Quadratmetergewicht von 150 g oder weniger, in Rollen oder Bogen (ohne Stroh-, Wellenpapier, Testliner, Sulfitpackpapier, Filter- oder Filzpapier und -pappe)","Other papers and cardboard, neither painted nor overwhelmed, with a square meter weight of 150 g or less, in roles or bow (without straw, wave paper, test lines, sulfite pack paper, filter or felt paper and cardboard)",t
1712 42 600,"Papiere und Pappen, weder gestrichen noch überzogen, mit einem Quadratmetergewicht von mehr als 150 g, jedoch weniger als 225 g (ohne Stroh-, Wellenpapier, Testliner, Sulfitpackpapier, Filter- oder Filzpapier und -pappe)","Papers and cardboard, neither painted nor oversized, with a square meter weight of more than 150 g, but less than 225 g (without straw, wave paper, testliner, sulfite pack paper, filter or felt paper and cardboard)",t
1712 42 805,"Papiere und Pappen, weder gestrichen noch überzogen, mit einem Quadratmetergewicht von 225 g oder mehr, aus Altpapier, z.B. Graukarton oder Wickelpappe","Papers and cardboard, neither painted nor oversized, with a square meter weight of 225 g or more, made of waste paper, e.g. gray box or wrap cardboard",t
1712 42 809,"Andere Papiere und Pappen, weder gestrichen noch überzogen, mit einem Quadratmetergewicht von 225 g oder mehr","Other papers and cardboard, neither painted nor oversized, with a square meter weight of 225 g or more",t
1712 43 300,Filterpapier und Filterpappe,Filter paper and filter cardboard,t
1712 43 600,Filzpapier und Filzpappe,Filz paper and felt cardboard,t
1712 44 000,"Zigarettenpapier (nicht in Form von Heftchen, Hülsen oder in Rollen und nicht mit einer Breite von 5 cm oder weniger)","Cigarette paper (not in the form of booklet, sleeves or in roles and not with a width of 5 cm or less)",t
1712 51 100,"Ungestrichene Pappe, innen grau","Unpainted cardboard, gray inside",t
1712 59 100,Sonstige ungestrichene Pappe,Other unprooted cardboard,t
1712 60 000,"Pergamentpapier und -pappe, Pergamentersatzpapier, Naturpauspapier, Pergaminpapier u.a. kalandrierte durchsichtige oder durchscheinende Papiere","Pergema paper and cardboard, parchment replacement paper, natural paus paper, pergamine paper, etc., calanded transparent or translucent papers",t
1712 71 000,"Papier und Pappe, zusammengeklebt, auf der Oberfläche weder gestrichen noch überzogen oder getränkt, auch mit Innenverstärkung, in Rollen oder Bogen","Paper and cardboard, glued together, neither deleted nor overloaded or soaked on the surface, also with internal reinforcement, in rolls or arches",t
1712 72 000,"Papiere und Pappen, gekreppt oder gefältelt, auch durch Pressen oder Prägen gemustert oder perforiert, a.n.g., in Rollen oder Bogen","Papers and cardboard, crown or fed, also patterned or perforated by pressing or shaping, a.n.G., in rolls or arches",t
1712 73 362,in Rollen,roll in,t
1712 73 363,andere Papiere und Pappen,Other papers and cardboard,t
1712 73 367,in Rollen,roll in,t
1712 73 369,andere Papiere und Pappen,Other papers and cardboard,t
1712 73 600,"Leichtgewichtiges gestrichenes Papier, sog. ""LWC-Papier"", mit einer mechanisch gewonnenen Fasermenge von 10 GHT oder mehr (holzhaltig)","Lightweight painted paper, so-called ""LWC paper"", with a mechanically obtained fiber amount of 10 GHT or more (wood-contained)",t
1712 73 750,"Andere gestrichene Papiere und Pappen, z. Beschreiben, Bedrucken u. zu and. graf. Zwecken, mech. gew. Fasermenge >= 10 GHT (holzhaltig) (ohne ""LWC-Papier""), in Rollen","Other painted papers and cardboard, e.g. Describe, print u. To and. Graf. Purpose, Mech. weight Fiber quantity> = 10 GHT (wood-contained) (without ""LWC paper""), in roll",t
1712 73 790,"Andere gestrichene Papiere und Pappen, z. Beschreiben, Bedrucken u. zu and. graf. Zwecken, mech. gew. Fasermenge >= 10 GHT (holzhaltig) (ohne ""LWC-Papier""), in Bogen","Other painted papers and cardboard, e.g. Describe, print u. To and. Graf. Purpose, Mech. weight Fiber quantity> = 10 GHT (wood-contained) (without ""LWC paper""), in arches",t
1712 74 000,"Ein- o. beidseitig mit Kaolin o.a. anorganischen Stoffen gestrichene o. überzogene Kraftpapiere und -pappen (oh. solche z. Beschreiben, Bedrucken o. für andere grafische Zwecke), mit einem Quadratmetergewicht von 150 g o. weniger, in Rollen o. Bogen","On one or on both sides with Kaolin o.A. inorganic fabrics painted over excessive force papers and cardboard (oh. Such z. Describe, print or for other graphic purposes), with a square meter weight of 150 g or less, in rolls or",kg
1712 75 000,"Ein- o. beidseitig mit Kaolin o. a. anorganischen Stoffen gestrichene o. überzogene Kraftpapiere und -pappen (oh. solche zum Beschreiben, Bedrucken o. für andere grafische Zwecke), mit einem Quadratmetergewicht von mehr als 150 g, in Rollen o. Bogen","On one or on both sides with Kaolin or a. Inorganic fabrics painted over excessive force papers and cardboard (oh. Such for describing, printing or for other graphic purposes), with a square meter weight of more than 150 g, in rolls or",kg
1712 76 000,"Kohlepapier, präpariertes Durchschreibepapier u.a. Vervielfältigungs- oder Umdruckpapier, in Rollen oder Bogen","Coal paper, prepared throughout writing paper, etc., duplication or upperpressing paper, in roles or arches",t
1712 77 100,"geteert, bituminiert oder asphaltiert","tetert, bitumed or paved",kg
1712 77 330,selbstklebend,self -adhesive,t
1712 77 350,gummiert oder mit Klebeschicht versehen (ohne selbstklebendes),rubberized or provided with adhesive layer (without self -adhesive),t
